Epoch;train_loss;train_acc;test_loss;test_acc
1;1.2902;0.5582;1.7142;0.478
2;1.2175;0.5843;0.8597;0.6333
3;1.0571;0.6332;1.1857;0.5881
4;0.9387;0.6494;1.684;0.5755
5;0.8143;0.6734;0.644;0.7538
6;0.6881;0.7017;0.8227;0.714
7;0.6015;0.7264;0.5725;0.7382
8;0.5398;0.7535;0.4753;0.7904
9;0.4716;0.7875;0.3893;0.8329
10;0.429;0.8036;0.3858;0.8334
11;0.3819;0.8304;0.4414;0.82
12;0.3607;0.8332;0.3195;0.8698
13;0.3158;0.8571;0.3092;0.8845
14;0.3197;0.8566;0.2904;0.8771
15;0.2823;0.8748;0.3694;0.8507
16;0.2594;0.8867;0.2829;0.8816
17;0.2359;0.8972;0.2318;0.9169
18;0.2183;0.9026;0.2581;0.9008
19;0.2318;0.896;0.2492;0.9013
20;0.2173;0.9062;0.2458;0.9072
21;0.1928;0.9181;0.218;0.9189
22;0.1821;0.9197;0.2141;0.912
23;0.1766;0.9278;0.2437;0.912
24;0.1686;0.9252;0.2226;0.9279
25;0.1898;0.9189;0.2232;0.9143
