Epoch;train_loss;train_acc;test_loss;test_acc;batch_size
9;0.6286;0.8012;0.455;0.8353;64
10;0.4987;0.8279;0.3869;0.8816;64
11;0.464;0.8327;1.0237;0.8549;64
12;0.4496;0.8516;0.5895;0.7746;64
13;0.4216;0.861;0.2972;0.8809;64
14;0.3417;0.878;0.3159;0.8821;64
15;0.3656;0.8682;0.3284;0.9044;64
16;0.3082;0.8845;0.4905;0.8675;64
17;0.2633;0.8979;0.2517;0.9092;64
18;0.2285;0.9045;0.2649;0.9161;64
19;0.2895;0.8823;1.604;0.9016;64
20;0.2591;0.8954;0.4085;0.8632;64
21;0.2656;0.8886;0.2097;0.9211;64
22;0.2231;0.9084;0.2567;0.9148;64
23;0.1898;0.921;0.3021;0.8884;64
24;0.2156;0.9122;0.2003;0.9255;64
25;0.1923;0.9255;0.2291;0.9262;64
1;0.9577;0.5724;0.6342;0.6391;128
2;0.8104;0.6317;0.8217;0.6011;128
3;0.8119;0.6567;0.6727;0.6958;128
4;0.7445;0.6781;0.7032;0.7005;128
5;0.8144;0.6902;0.736;0.7005;128
6;0.8071;0.7254;0.6177;0.7266;128
7;0.7452;0.7324;0.5782;0.7933;128
8;0.6307;0.7664;0.5106;0.8131;128
9;0.6461;0.79;0.4785;0.8326;128
10;0.6417;0.8023;0.3547;0.8466;128
11;0.55;0.8143;0.8094;0.7687;128
12;0.6018;0.8389;0.428;0.8653;128
13;0.5096;0.8547;0.6079;0.873;128
14;0.3711;0.8639;0.3327;0.8891;128
15;0.3411;0.8741;0.3518;0.8812;128
16;0.3054;0.8777;0.4744;0.8493;128
17;0.2712;0.8858;0.2527;0.9102;128
18;0.2318;0.9029;0.2382;0.9097;128
19;0.2314;0.9058;0.2428;0.9155;128
20;0.1914;0.9208;0.2309;0.9076;128
21;0.1957;0.9177;0.2802;0.9146;128
22;0.1873;0.9229;0.3355;0.8879;128
23;0.1725;0.9281;0.2355;0.9107;128
24;0.1625;0.9312;0.2606;0.9091;128
25;0.1613;0.9315;0.2609;0.9198;128
