Epoch;train_loss;train_acc;test_loss;test_acc
1;2.3725;0.5289;0.8527;0.5603
2;0.7604;0.5679;0.6301;0.6398
3;0.6658;0.6025;0.6026;0.6764
4;0.628;0.6443;0.6976;0.6398
5;0.5999;0.6787;0.5329;0.7391
6;0.5666;0.7047;0.5627;0.7302
7;0.5354;0.7238;0.4696;0.7836
8;0.5006;0.7502;0.4881;0.7653
9;0.4686;0.7698;0.432;0.8063
10;0.4497;0.7862;0.4639;0.7964
11;0.4205;0.8033;0.4156;0.8147
12;0.3941;0.8196;2.1762;0.8123
13;0.3922;0.8204;0.3877;0.834
14;0.3636;0.8336;2.8408;0.8098
15;0.3542;0.8394;0.783;0.8463
16;0.3467;0.8436;0.4376;0.835
17;0.3238;0.8569;0.5564;0.8483
18;0.3121;0.8629;1.4041;0.8375
19;0.3112;0.8637;4.7102;0.8379
20;0.3089;0.8635;0.6069;0.8463
21;0.2816;0.8785;0.5667;0.8528
22;0.2785;0.8813;0.4165;0.8533
23;0.2788;0.878;0.4505;0.8567
24;0.2599;0.8893;0.4611;0.8463
25;0.2557;0.8917;0.4975;0.8666
