Epoch;train_loss;train_acc;test_loss;test_acc
1;2.081;0.5335;0.7121;0.6011
2;0.6734;0.6001;0.6637;0.6476
3;0.6497;0.6277;0.6309;0.6767
4;0.6339;0.6431;0.7277;0.6001
5;0.6174;0.6618;0.6496;0.6644
6;0.5868;0.6889;0.6291;0.6896
7;0.5796;0.6976;0.6509;0.7009
8;0.5518;0.7147;0.7252;0.6683
9;0.5371;0.7307;0.7587;0.7088
10;0.5353;0.7273;2.3608;0.692
11;0.5102;0.7427;3.7068;0.694
12;0.4949;0.7599;197.7788;0.6856
13;0.4667;0.7768;4.5861;0.695
14;0.4546;0.7836;19205.4076;0.7088
15;0.4256;0.798;193.2591;0.7004
16;0.4171;0.8094;1344.6594;0.7197
17;0.4003;0.8185;76509.7504;0.6945
18;0.3828;0.8277;16158.1561;0.6826
19;0.3742;0.835;442303.0641;0.6896
20;0.3856;0.8274;288983.1853;0.7093
21;0.3683;0.8354;551531.1764;0.6836
22;0.345;0.848;419426.4114;0.6421
23;0.3661;0.8416;448302.881;0.6594
24;0.3538;0.8468;626630.2973;0.6401
25;0.3352;0.8523;376064.0503;0.6001
