Epoch;train_loss;train_acc;test_loss;test_acc
1;1.0097;0.5707;0.7194;0.6606
2;0.8715;0.6108;0.6662;0.6916
3;0.862;0.638;0.6594;0.6607
4;0.8882;0.6855;0.777;0.6635
5;0.8341;0.7135;0.692;0.7116
6;0.807;0.7369;0.9296;0.651
7;0.6975;0.7665;0.4374;0.8227
8;0.6523;0.7781;0.9149;0.7374
9;0.6286;0.8012;0.455;0.8353
10;0.4987;0.8279;0.3869;0.8816
11;0.464;0.8327;1.0237;0.8549
12;0.4496;0.8516;0.5895;0.7746
13;0.4216;0.861;0.2972;0.8809
14;0.3417;0.878;0.3159;0.8821
15;0.3656;0.8682;0.3284;0.9044
16;0.3082;0.8845;0.4905;0.8675
17;0.2633;0.8979;0.2517;0.9092
18;0.2285;0.9045;0.2649;0.9161
19;0.2895;0.8823;1.604;0.9016
20;0.2591;0.8954;0.4085;0.8632
21;0.2656;0.8886;0.2097;0.9211
22;0.2231;0.9084;0.2567;0.9148
23;0.1898;0.921;0.3021;0.8884
24;0.2156;0.9122;0.2003;0.9255
25;0.1923;0.9255;0.2291;0.9262
