Epoch;train_loss;train_acc;test_loss;test_acc
1;1.4202;0.545;1.0295;0.5793
2;1.0942;0.5636;0.8687;0.6149
3;1.0168;0.5819;0.9818;0.5981
4;0.8914;0.6063;0.8301;0.6415
5;0.7468;0.642;0.6356;0.6727
6;0.6546;0.6692;0.5386;0.7268
7;0.5937;0.6993;0.5093;0.7466
8;0.5484;0.7219;0.455;0.7924
9;0.4966;0.7573;0.443;0.8013
10;0.46;0.7777;0.4497;0.7904
11;0.4184;0.8;0.3715;0.8356
12;0.3926;0.8166;0.5127;0.7944
13;0.3564;0.8348;0.3048;0.8646
14;0.3374;0.8498;0.2852;0.8744
15;0.3037;0.8619;0.2966;0.8826
16;0.2884;0.8668;1.4763;0.8229
17;0.2826;0.8754;0.2474;0.8948
18;0.2586;0.8841;0.3061;0.8725
19;0.2379;0.8942;0.2604;0.9031
20;0.2238;0.8984;0.2673;0.8848
21;0.2086;0.9076;0.2363;0.9118
22;0.1957;0.9162;0.9167;0.9033
23;0.1986;0.9125;0.2043;0.9169
24;0.1755;0.9252;0.2826;0.887
25;0.1906;0.9158;0.4978;0.9135
