Epoch;train_loss;train_acc;test_loss;test_acc
1;2.0448;0.534;1.721;0.5143
2;0.9378;0.5557;0.6719;0.6321
3;0.6769;0.6165;0.5836;0.692
4;0.6266;0.6495;0.5782;0.6966
5;0.5966;0.6764;0.5181;0.7423
6;0.5645;0.7058;0.5052;0.7487
7;0.5063;0.7485;0.4092;0.8129
8;0.4553;0.7747;0.3583;0.8312
9;0.4134;0.8018;0.3339;0.8539
10;0.383;0.8191;0.3521;0.8445
11;0.353;0.8328;0.3245;0.8673
12;0.3387;0.8405;0.2699;0.8757
13;0.3164;0.8579;0.2797;0.8806
14;0.2961;0.8674;0.3008;0.8674
15;0.2741;0.8784;0.2901;0.8831
16;0.2708;0.88;0.3004;0.8826
17;0.2444;0.8939;0.2689;0.8986
18;0.2326;0.8995;0.258;0.8944
19;0.2285;0.9027;0.2747;0.8902
20;0.2232;0.9037;0.3013;0.8855
21;0.208;0.9101;4.8133;0.885
22;0.2081;0.911;0.2821;0.902
23;0.2074;0.9128;0.2816;0.892
24;0.1962;0.9192;0.4012;0.9023
25;0.1864;0.9213;0.3337;0.8961
